t_mono,dev_t,seg_id,voltage_v,current_a,remaining_pct
343000.751242,,41,12.335,0.77,87
343000.856171,,41,12.335,0.769,87
343000.96169,,41,12.335,0.769,87
343001.067883,,41,12.335,0.769,87
343001.119734,,41,12.335,0.768,87
343001.2246,,41,12.335,0.768,87
343001.330213,,41,12.335,0.768,87
343001.435147,,41,12.335,0.768,87
343001.540371,,41,12.335,0.768,87
343001.645862,,41,12.335,0.768,87
343001.751262,,41,12.335,0.768,87
343001.856351,,41,12.335,0.768,87
343001.961534,,41,12.335,0.768,87
343002.066976,,41,12.335,0.768,87
343002.119628,,41,12.335,0.768,87
343002.224655,,41,12.335,0.768,87
343002.330002,,41,12.335,0.768,87
343002.435743,,41,12.335,0.768,87
343002.540537,,41,12.335,0.768,87
343002.645672,,41,12.335,0.768,87
343002.751186,,41,12.335,0.768,87
343002.856551,,42,12.295,1.645,87
343002.961567,,42,12.221,3.287,87
343003.06678,,42,12.163,4.569,87
343003.172608,,42,12.122,5.495,87
343003.224708,,42,12.106,5.84,87
343003.33009,,42,12.082,6.367,87
343003.435501,,42,12.066,6.722,87
343003.541169,,42,12.055,6.96,87
343003.645816,,42,12.048,7.116,87
343003.750996,,42,12.043,7.22,87
343003.856334,,42,12.04,7.288,87
343003.961365,,42,12.038,7.333,87
343004.06681,,42,12.036,7.363,87
343004.172403,,42,12.035,7.383,87
343004.224728,,42,12.035,7.39,87
343004.330263,,42,12.034,7.4,87
343004.43569,,42,12.034,7.407,87
343004.540638,,42,12.033,7.412,87
343004.645676,,42,12.033,7.415,87
343004.751019,,42,12.033,7.417,87
343004.856245,,42,12.032,7.418,87
343004.961685,,42,12.032,7.419,86
343005.066769,,42,12.032,7.42,86
343005.172256,,42,12.032,7.42,86
343005.225149,,42,12.032,7.421,86
343005.330478,,42,12.031,7.421,86
343005.435471,,42,12.031,7.421,86
343005.540322,,42,12.031,7.421,86
343005.645719,,42,12.031,7.421,86
343005.751261,,42,12.031,7.422,86
343005.8565,,42,12.03,7.422,86
343005.961364,,42,12.03,7.422,86
343006.067271,,42,12.03,7.422,86
343006.119606,,42,12.03,7.422,86
343006.225064,,42,12.03,7.422,86
343006.330562,,42,12.03,7.422,86
343006.435343,,42,12.029,7.422,86
343006.540527,,42,12.029,7.423,86
343006.64578,,42,12.029,7.423,86
343006.750893,,42,12.029,7.423,86
343006.856568,,43,12.064,6.646,86
343006.961632,,43,12.112,5.577,86
343007.066669,,43,12.141,4.914,86
343007.119483,,43,12.152,4.679,86
343007.224788,,43,12.167,4.345,86
343007.330061,,43,12.176,4.13,86
343007.435253,,43,12.183,3.991,86
343007.540654,,43,12.186,3.901,86
343007.645802,,43,12.189,3.842,86
343007.751085,,43,12.191,3.804,86
343007.856292,,43,12.192,3.779,86
343007.961685,,43,12.192,3.762,86
343008.066855,,43,12.193,3.752,86
343008.119603,,43,12.193,3.748,86
343008.22477,,43,12.193,3.742,86
343008.330083,,43,12.193,3.738,86
343008.435304,,43,12.193,3.736,86
343008.540555,,43,12.193,3.734,86
