run,phase,a_us,b_us,n,thrust_N,thrust_std,torque_Nm,voltage_V,current_A
A1900_B1000-2000_2026-07-31_032000,A1900_B1000,1900,1000,151,8.860807405057434,0.5499341188000557,-0.1483501209501527,11.609328859060403,13.978859060402684
A1900_B1000-2000_2026-07-31_032000,A1900_B1100,1900,1100,151,8.780290848766043,0.4975729531786509,-0.1388203196256494,11.554810810810812,14.101013513513513
A1900_B1000-2000_2026-07-31_032000,A1900_B1200,1900,1200,149,9.208656820587013,0.30526870876368156,-0.12818860266045096,11.495898648648648,14.564324324324325
A1900_B1000-2000_2026-07-31_032000,A1900_B1300,1900,1300,151,9.665165020951473,0.24848401389637584,-0.11425740571836462,11.460880000000001,15.238400000000002
A1900_B1000-2000_2026-07-31_032000,A1900_B1400,1900,1400,151,10.207204756050812,0.23586712181553818,-0.10102561763889442,11.414107382550336,16.083691275167784
A1900_B1000-2000_2026-07-31_032000,A1900_B1500,1900,1500,151,10.782800782540878,0.2629615884166136,-0.08534349843359641,11.362046979865772,17.096241610738257
A1900_B1000-2000_2026-07-31_032000,A1900_B1600,1900,1600,148,11.477289461617305,0.24573033344877138,-0.0723764767761774,11.30810135135135,18.32891891891892
A1900_B1000-2000_2026-07-31_032000,A1900_B1700,1900,1700,151,12.521251113666706,0.2616402963320208,-0.04860839909584807,11.227366666666667,20.4082
A1900_B1000-2000_2026-07-31_032000,A1900_B1800,1900,1800,151,13.956959722938228,0.37555683459574857,-0.018654756711742108,11.109885906040269,23.704765100671143
A1900_B1000-2000_2026-07-31_032000,A1900_B1900,1900,1900,151,15.32227760373293,0.5448974047493317,0.014212792957132061,10.962369127516778,27.889999999999997
A1900_B1000-2000_2026-07-31_032000,A1900_B2000,1900,2000,150,16.835985948103794,1.2153217509779048,0.039783433133732504,10.827425675675675,31.614189189189187
A2000_B1000-2000_2026-07-31_032944,A2000_B1000,2000,1000,151,10.228151075332779,0.3437412924526402,-0.17540788621432635,11.515646666666667,18.044533333333334
A2000_B1000-2000_2026-07-31_032944,A2000_B1100,2000,1100,151,10.396449088577812,0.30135208330225494,-0.16310987296929325,11.44461744966443,18.038523489932885
A2000_B1000-2000_2026-07-31_032944,A2000_B1200,2000,1200,151,10.670806704471852,0.20189427021748657,-0.15309000541962436,11.39434,18.366733333333336
A2000_B1000-2000_2026-07-31_032944,A2000_B1300,2000,1300,150,11.043176726546909,0.19728626567052826,-0.13885640718562875,11.35256375838926,18.91214765100671
A2000_B1000-2000_2026-07-31_032944,A2000_B1400,2000,1400,151,11.498833194538078,0.22573804803449526,-0.12487146237326675,11.301953020134228,19.682080536912753
A2000_B1000-2000_2026-07-31_032944,A2000_B1500,2000,1500,148,12.103370960781142,0.20088983340217478,-0.11108919997842155,11.250506756756756,20.68864864864865
A2000_B1000-2000_2026-07-31_032944,A2000_B1600,2000,1600,151,12.722906042220197,0.2700308071575812,-0.09675887959180979,11.1991,21.777466666666665
A2000_B1000-2000_2026-07-31_032944,A2000_B1700,2000,1700,151,13.691303393213573,0.39054680634594857,-0.07502378025406144,11.123241610738255,23.784026845637584
A2000_B1000-2000_2026-07-31_032944,A2000_B1800,2000,1800,151,14.994290148180461,0.23679443083310842,-0.04361318422757138,10.995724832214766,27.190872483221476
A2000_B1000-2000_2026-07-31_032944,A2000_B1900,2000,1900,151,16.501462333610927,0.5591978063784584,-0.014262190850087933,10.8755,30.838851351351348
A2000_B1000-2000_2026-07-31_032944,A2000_B2000,2000,2000,148,17.830634474294655,0.7572711177581798,0.016039178399956812,10.743310810810812,34.73412162162162
