# selected servo A
#META fw=tvc_char 2.1 test=B axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 buffered=1
#META imu_alive=1 imu_pass=0 imu_rate_hz=1907 g_mag=1.0454
#META gyro_bias_dps=2.3306,1.3877,-1.7717 gyro_noise_dps=0.1920,0.1828,0.1872 acc_noise_g=0.00390,0.00427,0.00414
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META log_hz=1000 pre_ms=200 post_ms=2000 n=2200 arm_ms=1800 center_us=1520 half_travel_us=150
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
S,229000,post,0,0,1527,1520,336,-1440,-17160,32,16,-34,0
S,230000,post,0,0,1527,1520,-2296,-1696,-16856,39,16,-11,0
S,231000,post,0,0,1527,1520,352,376,-17080,38,9,-32,0
S,232000,post,0,0,1527,1520,352,-1800,-16792,35,12,-38,0
S,233000,post,0,0,1527,1520,-648,-360,-16968,40,12,-34,0
S,234000,post,0,0,1527,1520,2016,-352,-17224,37,8,-29,0
S,235000,post,0,0,1527,1520,-1416,-552,-17272,36,14,-31,0
S,236001,post,0,0,1527,1520,-1048,-856,-17144,31,13,-26,0
S,237000,post,0,0,1527,1520,760,-1104,-17280,25,12,-26,0
S,238000,post,0,0,1527,1520,-1200,-1416,-17368,32,14,-27,0
S,239000,post,0,0,1527,1520,-1000,-400,-17080,36,1,-31,0
S,240001,post,0,0,1527,1520,544,-1104,-16944,30,12,-28,0
S,241000,post,0,0,1527,1520,-648,-1336,-16760,39,11,-27,0
S,242000,post,0,0,1527,1520,32,16,-17064,45,10,-31,0
S,243000,post,0,0,1527,1520,-488,-304,-17088,35,8,-30,0
S,244000,post,0,0,1527,1520,-64,-1688,-17080,36,12,-27,0
S,245001,post,0,0,1527,1520,-880,-960,-17160,42,12,-30,0
S,246000,post,0,0,1527,1520,-832,-488,-17488,40,7,-39,0
S,247000,post,0,0,1527,1520,-720,-1624,-17216,31,7,-26,0
S,248000,post,0,0,1527,1520,-336,-904,-17224,40,7,-22,0
S,249000,post,0,0,1527,1520,-232,-544,-16776,42,7,-36,0
S,250000,post,0,0,1527,1520,-456,-936,-16824,46,6,-33,0
S,251000,post,0,0,1527,1520,-32,-944,-16800,41,2,-34,0
S,252000,post,0,0,1527,1520,-600,-528,-16936,39,5,-34,0
S,253001,post,0,0,1527,1520,-504,-664,-17032,42,5,-24,0
S,254000,post,0,0,1527,1520,104,-1472,-17344,43,6,-24,0
S,255001,post,0,0,1527,1520,-728,-816,-17296,45,10,-38,0
S,256000,post,0,0,1527,1520,-176,-280,-17216,44,7,-29,0
S,257001,post,0,0,1527,1520,-352,-920,-17088,38,6,-33,0
S,258000,post,0,0,1527,1520,-520,-1064,-17024,43,4,-30,0
S,259000,post,0,0,1527,1520,-296,-576,-16896,34,6,-29,0
S,260001,post,0,0,1527,1520,-160,-824,-16984,36,7,-36,0
S,261000,post,0,0,1527,1520,-504,-1536,-17024,34,9,-30,0
S,262000,post,0,0,1527,1520,-184,-848,-17152,44,7,-26,0
S,263000,post,0,0,1527,1520,-536,-728,-17192,35,7,-35,0
S,264000,post,0,0,1527,1520,-576,-776,-17112,34,6,-30,0
